stock_code,stock_name,buy_date,sell_date,buy_price,sell_price,profit_pct,hold_days,exit_reason,retrace_date,surge_date,support_level,buy_year
002856,002856_data,2019-02-19 00:00:00,2019-03-08 00:00:00,21.15,23.4508,10.528486997635946,17,移动止盈,2019-02-18 00:00:00,2019-02-15 00:00:00,19.58,2019
605117,605117_data,2021-05-31 00:00:00,2021-06-07 00:00:00,77.88,74.382,-4.841525423728802,7,移动止盈,2021-05-28 00:00:00,2021-05-27 00:00:00,69.1,2021
002454,002454_data,2019-02-15 00:00:00,2019-03-08 00:00:00,4.65,5.106,9.456451612903214,21,移动止盈,2019-02-14 00:00:00,2019-02-13 00:00:00,4.41,2019
002100,002100_data,2019-02-13 00:00:00,2019-02-22 00:00:00,5.93,6.7896,14.145784148397983,9,移动止盈,2019-02-12 00:00:00,2019-02-11 00:00:00,5.02,2019
002383,002383_data,2019-02-27 00:00:00,2019-03-08 00:00:00,13.42,14.49,7.6231743666169915,9,移动止盈,2019-02-26 00:00:00,2019-02-25 00:00:00,13.17,2019
603106,603106_data,2019-04-02 00:00:00,2019-04-08 00:00:00,14.4,13.938,-3.5583333333333322,6,移动止盈,2019-04-01 00:00:00,2019-03-29 00:00:00,12.38,2019
603194,603194_data,2025-02-11 00:00:00,2025-02-28 00:00:00,37.1,37.6924,1.2467654986522851,17,移动止盈,2025-02-10 00:00:00,2025-02-07 00:00:00,34.88,2025
000070,000070_data,2019-02-13 00:00:00,2019-02-21 00:00:00,10.21,10.9664,7.058423114593528,8,移动止盈,2019-02-12 00:00:00,2019-02-11 00:00:00,9.36,2019
002796,002796_data,2019-02-15 00:00:00,2019-02-21 00:00:00,42.49,44.5648,4.533031301482692,6,移动止盈,2019-02-14 00:00:00,2019-02-13 00:00:00,40.1,2019
002797,002797_data,2019-02-26 00:00:00,2019-03-04 00:00:00,7.93,7.544,-5.217591424968476,6,移动止盈,2019-02-25 00:00:00,2019-02-22 00:00:00,6.34,2019
600581,600581_data,2019-02-27 00:00:00,2019-03-08 00:00:00,4.4,4.6000000000000005,4.195454545454549,9,移动止盈,2019-02-26 00:00:00,2019-02-25 00:00:00,4.02,2019
600220,600220_data,2019-02-27 00:00:00,2019-03-08 00:00:00,2.67,2.9164,8.878464419475653,9,移动止盈,2019-02-26 00:00:00,2019-02-25 00:00:00,2.51,2019
603389,603389_data,2019-02-25 00:00:00,2019-03-07 00:00:00,10.49,11.0676,5.156196377502386,10,移动止盈,2019-02-22 00:00:00,2019-02-21 00:00:00,9.18,2019
600775,600775_data,2019-02-13 00:00:00,2019-02-20 00:00:00,8.41,8.3628,-0.9112366230677781,7,移动止盈,2019-02-12 00:00:00,2019-02-11 00:00:00,7.46,2019
600512,600512_data,2019-02-27 00:00:00,2019-03-08 00:00:00,2.86,2.8428,-0.9513986013985972,9,移动止盈,2019-02-26 00:00:00,2019-02-25 00:00:00,2.47,2019
002518,002518_data,2019-02-27 00:00:00,2019-03-04 00:00:00,10.44,10.3408,-1.3001915708812235,5,移动止盈,2019-02-26 00:00:00,2019-02-25 00:00:00,9.01,2019
601700,601700_data,2019-02-18 00:00:00,2019-02-26 00:00:00,6.5549,10.699600000000002,62.88056034417004,8,移动止盈,2019-02-15 00:00:00,2019-02-14 00:00:00,5.15,2019
001382,001382_data,2025-05-08 00:00:00,2025-05-23 00:00:00,22.15,22.521600000000003,1.3276523702031802,15,移动止盈,2025-05-07 00:00:00,2025-05-06 00:00:00,21.45,2025
600107,600107_data,2019-02-26 00:00:00,2019-03-05 00:00:00,7.74,7.774,0.08927648578811119,7,移动止盈,2019-02-25 00:00:00,2019-02-22 00:00:00,6.67,2019
000987,000987_data,2019-02-20 00:00:00,2019-02-25 00:00:00,9.63,9.9728,3.209709241952218,5,移动止盈,2019-02-19 00:00:00,2019-02-18 00:00:00,8.38,2019
000517,000517_data,2019-02-27 00:00:00,2019-03-04 00:00:00,2.7,3.0176,11.41296296296295,5,移动止盈,2019-02-26 00:00:00,2019-02-25 00:00:00,2.52,2019
002145,002145_data,2019-02-27 00:00:00,2019-03-07 00:00:00,4.03,4.3056,6.488709677419351,8,移动止盈,2019-02-26 00:00:00,2019-02-25 00:00:00,3.85,2019
600425,600425_data,2019-02-27 00:00:00,2019-03-05 00:00:00,3.6,4.5264,25.383333333333326,6,移动止盈,2019-02-26 00:00:00,2019-02-25 00:00:00,3.29,2019
002692,002692_data,2019-02-20 00:00:00,2019-02-27 00:00:00,4.06,4.324000000000001,6.15246305418722,7,移动止盈,2019-02-19 00:00:00,2019-02-18 00:00:00,3.82,2019
000963,000963_data,2019-02-12 00:00:00,2019-02-20 00:00:00,29.01,29.44,1.1322475008617707,8,移动止盈,2019-02-11 00:00:00,2019-02-01 00:00:00,26.44,2019
600316,600316_data,2019-02-25 00:00:00,2019-03-05 00:00:00,13.06,13.763200000000001,5.034379785604905,8,移动止盈,2019-02-22 00:00:00,2019-02-21 00:00:00,12.11,2019
002467,002467_data,2019-02-27 00:00:00,2019-03-05 00:00:00,5.89,6.256,5.863921901528022,6,移动止盈,2019-02-26 00:00:00,2019-02-25 00:00:00,5.65,2019
002354,002354_data,2019-02-27 00:00:00,2019-03-04 00:00:00,5.35,5.3452,-0.4397196261682145,5,移动止盈,2019-02-26 00:00:00,2019-02-25 00:00:00,4.93,2019
002214,002214_data,2019-02-15 00:00:00,2019-03-08 00:00:00,6.5,7.6175999999999995,16.843846153846144,21,移动止盈,2019-02-14 00:00:00,2019-02-13 00:00:00,6.18,2019
600139,600139_data,2019-02-27 00:00:00,2019-03-07 00:00:00,3.93,4.3056,9.207251908396945,8,移动止盈,2019-02-26 00:00:00,2019-02-25 00:00:00,3.78,2019
000823,000823_data,2019-02-15 00:00:00,2019-02-27 00:00:00,9.29,9.8164,5.31630785791174,12,移动止盈,2019-02-14 00:00:00,2019-02-13 00:00:00,8.85,2019
600698,600698_data,2019-02-27 00:00:00,2019-03-06 00:00:00,4.11,4.140000000000001,0.37992700729927603,7,移动止盈,2019-02-26 00:00:00,2019-02-25 00:00:00,3.87,2019
600703,600703_data,2019-02-12 00:00:00,2019-02-18 00:00:00,10.92,12.0336,9.847802197802197,6,移动止盈,2019-02-11 00:00:00,2019-02-01 00:00:00,9.81,2019
002329,002329_data,2019-02-27 00:00:00,2019-03-14 00:00:00,4.34,4.232,-2.838479262672803,15,移动止盈,2019-02-26 00:00:00,2019-02-25 00:00:00,3.68,2019
600550,600550_data,2019-02-27 00:00:00,2019-03-08 00:00:00,4.33,4.8116,10.772401847575063,9,移动止盈,2019-02-26 00:00:00,2019-02-25 00:00:00,4.14,2019
002488,002488_data,2019-02-27 00:00:00,2019-03-08 00:00:00,7.86,11.5828,47.01386768447837,9,移动止盈,2019-02-26 00:00:00,2019-02-25 00:00:00,7.15,2019
601179,601179_data,2019-02-27 00:00:00,2019-03-08 00:00:00,4.2,4.0848,-3.0928571428571368,9,移动止盈,2019-02-26 00:00:00,2019-02-25 00:00:00,3.9,2019
002453,002453_data,2019-02-27 00:00:00,2019-03-07 00:00:00,6.49,6.3296,-2.821494607087829,8,移动止盈,2019-02-26 00:00:00,2019-02-25 00:00:00,5.69,2019
002194,002194_data,2019-02-20 00:00:00,2019-02-26 00:00:00,8.76,10.2764,16.960502283105033,6,移动止盈,2019-02-19 00:00:00,2019-02-18 00:00:00,8.32,2019
600677,600677_data,2019-02-13 00:00:00,2019-02-21 00:00:00,12.18,13.873600000000001,13.55476190476192,8,移动止盈,2019-02-12 00:00:00,2019-02-11 00:00:00,11.54,2019
603929,603929_data,2019-02-18 00:00:00,2019-03-08 00:00:00,16.27,18.114800000000002,10.988660110633084,18,移动止盈,2019-02-15 00:00:00,2019-02-14 00:00:00,14.6,2019
000957,000957_data,2019-02-14 00:00:00,2019-02-20 00:00:00,6.06,6.1456,1.0625412541254182,6,移动止盈,2019-02-13 00:00:00,2019-02-12 00:00:00,5.82,2019
002642,002642_data,2019-02-27 00:00:00,2019-03-05 00:00:00,6.68,6.9,2.9434131736527047,6,移动止盈,2019-02-26 00:00:00,2019-02-25 00:00:00,6.16,2019
600864,600864_data,2019-02-20 00:00:00,2019-02-26 00:00:00,4.89,6.026,22.88108384458078,6,移动止盈,2019-02-19 00:00:00,2019-02-18 00:00:00,4.54,2019
600072,600072_data,2019-02-27 00:00:00,2019-03-04 00:00:00,8.82,9.9084,11.990136054421768,5,移动止盈,2019-02-26 00:00:00,2019-02-25 00:00:00,8.42,2019
000969,000969_data,2019-02-26 00:00:00,2019-03-14 00:00:00,5.93,6.283600000000001,5.61290050590221,16,移动止盈,2019-02-25 00:00:00,2019-02-22 00:00:00,5.38,2019
002897,002897_data,2019-02-27 00:00:00,2019-03-04 00:00:00,22.67,23.8096,4.676907807675333,5,移动止盈,2019-02-26 00:00:00,2019-02-25 00:00:00,20.68,2019
002660,002660_data,2019-03-05 00:00:00,2019-03-11 00:00:00,7.17,7.3968,2.8131799163179902,6,移动止盈,2019-03-04 00:00:00,2019-03-01 00:00:00,6.77,2019
002153,002153_data,2019-02-13 00:00:00,2019-02-27 00:00:00,30.89,31.8136,2.6399643897701535,14,移动止盈,2019-02-12 00:00:00,2019-02-11 00:00:00,28.12,2019
000055,000055_data,2019-02-26 00:00:00,2019-03-11 00:00:00,6.67,6.3848,-4.625862068965512,13,移动止盈,2019-02-25 00:00:00,2019-02-22 00:00:00,5.85,2019
000592,000592_data,2019-02-26 00:00:00,2019-03-06 00:00:00,3.82,4.0572,5.859424083769635,8,移动止盈,2019-02-25 00:00:00,2019-02-22 00:00:00,3.43,2019
