代码,回踩日期,放量日期,放量收盘价,质量总分,跌幅评分,时间评分,回踩评分,跌幅,缩量到放量天数
002985,2020-06-23 00:00:00,2020-06-22 00:00:00,103.88,65,15,30,20,9.064039408866998,18
603102,2022-06-28 00:00:00,2022-06-27 00:00:00,42.3,65,5,40,20,7.20720720720721,5
603124,2025-08-01 00:00:00,2025-07-31 00:00:00,55.29,65,15,30,20,11.545655500765175,17
603257,2025-07-21 00:00:00,2025-07-18 00:00:00,53.33,65,5,40,20,5.202520252025203,11
603261,2022-06-24 00:00:00,2022-06-23 00:00:00,47.17,65,15,30,20,8.91089108910891,16
603392,2020-07-08 00:00:00,2020-07-07 00:00:00,171.5,65,5,40,20,0.0,13
603489,2020-06-05 00:00:00,2020-06-04 00:00:00,109.95,65,5,40,20,6.371951219512205,14
603893,2020-04-02 00:00:00,2020-04-01 00:00:00,55.61,65,5,40,20,6.804389928986438,9
603893,2020-07-30 00:00:00,2020-07-29 00:00:00,93.72,65,15,30,20,9.941218933690834,16
605337,2021-05-14 00:00:00,2021-05-13 00:00:00,52.3,65,15,30,20,10.944586866495769,23
000708,2020-02-05 00:00:00,2020-02-04 00:00:00,20.98,60,20,20,20,12.617554858934167,26
001207,2021-08-10 00:00:00,2021-08-09 00:00:00,22.08,60,10,30,20,30.202355783751134,17
001223,2023-02-02 00:00:00,2023-02-01 00:00:00,83.86,60,10,30,20,23.136382888606516,19
001228,2022-06-23 00:00:00,2022-06-22 00:00:00,47.78,60,10,30,20,38.398357289527716,20
001283,2022-11-02 00:00:00,2022-11-01 00:00:00,56.91,60,10,30,20,38.90165719124229,20
001326,2023-12-28 00:00:00,2023-12-27 00:00:00,52.17,60,10,30,20,44.82222222222222,19
001326,2024-02-19 00:00:00,2024-02-08 00:00:00,33.57,60,10,40,10,22.955145118733515,9
001335,2025-06-10 00:00:00,2025-06-09 00:00:00,38.72,60,10,30,20,42.82245827010623,21
001339,2022-10-13 00:00:00,2022-10-12 00:00:00,20.68,60,10,30,20,21.908893709327558,22
