2026-04-21 21:29:16 [INFO] 📂 加载回测数据：data/new_coins_backtest.json
2026-04-21 21:29:16 [INFO] ✅ 加载成功，共 100 个币种
2026-04-21 21:29:16 [INFO] 📊 回测期间：2026-01-21 21:00:00 ~ 2026-04-21 21:00:00
2026-04-21 21:29:16 [INFO] 🚀 开始回测 v3.1: 2026-01-21 21:00:00 ~ 2026-04-21 21:00:00
2026-04-21 21:29:16 [INFO] 📊 共有 2160 个评分时点
2026-04-21 21:29:16 [INFO] 🎯 IDUSDT 开仓：时间=2026-04-02 05:01:00, 价格=0.0357, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 ZKJUSDT 开仓：时间=2026-04-02 06:01:00, 价格=0.0194, 评分=8.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 XMRUSDT 开仓：时间=2026-04-02 06:01:00, 价格=335.3700, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 DYDXUSDT 开仓：时间=2026-04-02 06:01:00, 价格=0.0990, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 IDOLUSDT 开仓：时间=2026-04-02 07:01:00, 价格=0.0222, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 LINKUSDT 开仓：时间=2026-04-02 07:01:00, 价格=8.9390, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 IDUSDT 开仓：时间=2026-04-02 07:01:00, 价格=0.0356, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 ZKJUSDT 开仓：时间=2026-04-02 08:01:00, 价格=0.0196, 评分=8.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 XMRUSDT 开仓：时间=2026-04-02 08:01:00, 价格=339.3500, 评分=8.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 DYDXUSDT 开仓：时间=2026-04-02 08:01:00, 价格=0.1000, 评分=8.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 IDOLUSDT 开仓：时间=2026-04-02 09:01:00, 价格=0.0221, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 LINKUSDT 开仓：时间=2026-04-02 09:01:00, 价格=8.7370, 评分=10.00, 三次冲顶=True, 量价背离=True
2026-04-21 21:29:16 [INFO] 🎯 IDUSDT 开仓：时间=2026-04-02 09:01:00, 价格=0.0350, 评分=10.00, 三次冲顶=True, 量价背离=True
2026-04-21 21:29:16 [INFO] 🎯 ZKJUSDT 开仓：时间=2026-04-02 10:01:00, 价格=0.0191, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 XMRUSDT 开仓：时间=2026-04-02 10:01:00, 价格=335.2200, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 DYDXUSDT 开仓：时间=2026-04-02 10:01:00, 价格=0.0970, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 IDOLUSDT 开仓：时间=2026-04-02 11:01:00, 价格=0.0220, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 LINKUSDT 开仓：时间=2026-04-02 11:01:00, 价格=8.5600, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 IDUSDT 开仓：时间=2026-04-02 11:01:00, 价格=0.0343, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 ZKJUSDT 开仓：时间=2026-04-02 12:01:00, 价格=0.0188, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 XMRUSDT 开仓：时间=2026-04-02 12:01:00, 价格=329.0500, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 DYDXUSDT 开仓：时间=2026-04-02 12:01:00, 价格=0.0960, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 IDOLUSDT 开仓：时间=2026-04-02 13:01:00, 价格=0.0219, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 LINKUSDT 开仓：时间=2026-04-02 13:01:00, 价格=8.5420, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 IDUSDT 开仓：时间=2026-04-02 13:01:00, 价格=0.0342, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 ZKJUSDT 开仓：时间=2026-04-02 14:01:00, 价格=0.0189, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 XMRUSDT 开仓：时间=2026-04-02 14:01:00, 价格=328.7500, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 DYDXUSDT 开仓：时间=2026-04-02 14:01:00, 价格=0.0970, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 IDOLUSDT 开仓：时间=2026-04-02 15:01:00, 价格=0.0230, 评分=7.00, 三次冲顶=False, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 LINKUSDT 开仓：时间=2026-04-02 15:01:00, 价格=8.5600, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 IDUSDT 开仓：时间=2026-04-02 15:01:00, 价格=0.0345, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 ZKJUSDT 开仓：时间=2026-04-02 16:01:00, 价格=0.0190, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 XMRUSDT 开仓：时间=2026-04-02 16:01:00, 价格=332.0900, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 DYDXUSDT 开仓：时间=2026-04-02 16:01:00, 价格=0.0980, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 IDOLUSDT 开仓：时间=2026-04-02 17:01:00, 价格=0.0233, 评分=8.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 LINKUSDT 开仓：时间=2026-04-02 17:01:00, 价格=8.5010, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 IDUSDT 开仓：时间=2026-04-02 17:01:00, 价格=0.0340, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 ZKJUSDT 开仓：时间=2026-04-02 18:01:00, 价格=0.0189, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 XMRUSDT 开仓：时间=2026-04-02 18:01:00, 价格=330.7800, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 DYDXUSDT 开仓：时间=2026-04-02 18:01:00, 价格=0.0970, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 IDOLUSDT 开仓：时间=2026-04-02 19:01:00, 价格=0.0231, 评分=6.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 LINKUSDT 开仓：时间=2026-04-02 19:01:00, 价格=8.4790, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 IDUSDT 开仓：时间=2026-04-02 19:01:00, 价格=0.0339, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 ZKJUSDT 开仓：时间=2026-04-02 20:01:00, 价格=0.0190, 评分=8.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 XMRUSDT 开仓：时间=2026-04-02 20:01:00, 价格=328.3100, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 DYDXUSDT 开仓：时间=2026-04-02 20:01:00, 价格=0.0960, 评分=8.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 IDOLUSDT 开仓：时间=2026-04-02 21:01:00, 价格=0.0229, 评分=8.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 LINKUSDT 开仓：时间=2026-04-02 21:01:00, 价格=8.4860, 评分=10.00, 三次冲顶=True, 量价背离=True
2026-04-21 21:29:16 [INFO] 🎯 IDUSDT 开仓：时间=2026-04-02 21:01:00, 价格=0.0335, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 MANTAUSDT 开仓：时间=2026-04-02 22:01:00, 价格=0.0607, 评分=8.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 ASRUSDT 开仓：时间=2026-04-02 22:01:00, 价格=1.2400, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 XLMUSDT 开仓：时间=2026-04-02 22:01:00, 价格=0.1636, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 ZKJUSDT 开仓：时间=2026-04-02 22:01:00, 价格=0.0190, 评分=8.00, 三次冲顶=True, 量价背离=False
