date,open,high,low,close,volume,amount,turn,ma20
2022-09-19,3928.4239,3953.6494,3910.3106,3928.0001,9771957500,183574440581.8000,0.341741,4063.9313049999996
2022-09-20,3945.6467,3957.5538,3921.6884,3932.8361,8482413400,179248153537.9000,0.296643,4051.503285
2022-09-21,3921.3177,3924.3914,3884.2268,3903.7348,8645839100,168939074342.6000,0.302349,4038.63591
2022-09-22,3875.1771,3900.2736,3860.2308,3869.344,8094691900,161134102784.4000,0.283075,4027.9821349999997
2022-09-23,3865.1049,3888.3958,3829.6913,3856.0212,9434246200,172904807364.4000,0.329920,4014.971215
2022-09-26,3829.5958,3893.3186,3827.9498,3836.6773,10452603100,192906200253.8000,0.365146,4001.4278050000003
2022-09-27,3844.0692,3893.0283,3827.9265,3892.295,8886016000,185955247353.4000,0.310404,3991.56653
2022-09-28,3879.4398,3879.4398,3828.0545,3828.7098,8659221300,172438042788.2000,0.302212,3979.2123349999993
2022-09-29,3864.3160,3873.1823,3808.6496,3827.1434,8565414200,171635940007.5000,0.298701,3966.6274949999997
2022-09-30,3833.3504,3848.6018,3801.2798,3804.8853,7855996600,158692748773.3000,0.273923,3954.684785
2022-10-10,3806.5596,3807.4574,3715.7142,3720.9365,10264759500,194635904094.3000,0.357901,3939.550955
2022-10-11,3732.0191,3739.8084,3706.0629,3727.6867,8394462500,166800394853.2000,0.292680,3925.16397
2022-10-12,3722.8659,3784.3064,3661.5255,3784.3064,10808931900,210931362291.5000,0.376862,3911.7652800000005
2022-10-13,3756.4176,3783.5960,3749.6393,3752.6729,9901891500,198368891548.5000,0.345122,3896.6497749999994
2022-10-14,3783.3160,3863.2265,3780.8415,3842.4698,11624229300,256551271975.0000,0.405152,3886.88907
2022-10-17,3822.2428,3849.6207,3809.1196,3846.4119,10419201900,220488874406.8000,0.363138,3874.520295
2022-10-18,3865.8258,3870.2155,3831.1723,3838.2667,8834690700,186556295765.5000,0.307913,3860.877905
2022-10-19,3827.4658,3840.4870,3776.5335,3776.5335,8157484400,186736408229.7000,0.284310,3846.43663
2022-10-20,3746.5793,3804.2468,3726.7925,3754.9269,9029089500,203781618922.2000,0.314688,3832.8270449999995
2022-10-21,3753.8903,3768.6895,3724.6900,3742.8929,9875003800,180686357677.0000,0.000000,3823.33756
2022-10-24,3727.9150,3762.1580,3619.9876,3633.3733,13005686400,259450743134.0000,0.453278,3808.60622
2022-10-25,3621.9356,3670.7327,3594.7011,3627.4542,11095388200,219302759596.7000,0.386699,3793.3371250000005
2022-10-26,3633.3107,3700.8797,3633.3107,3656.9027,12130154800,242453810571.9000,0.422762,3780.9955199999995
2022-10-27,3667.6645,3685.0837,3631.0639,3631.1448,11799867500,257473315676.0000,0.411250,3769.0855600000004
2022-10-28,3605.1598,3618.8640,3533.4993,3541.3295,11877216200,245816451977.6000,0.413941,3753.350975
2022-10-31,3504.5070,3553.3871,3495.9509,3508.7034,13846565500,256574822102.2000,0.482516,3736.95228
2022-11-01,3519.8174,3634.1732,3517.6209,3634.1732,14928669800,295089928407.3000,0.520224,3724.04619
2022-11-02,3620.3693,3703.4650,3610.8029,3677.8051,14159291900,291648245712.0000,0.492896,3716.5009550000004
2022-11-03,3645.0604,3670.1574,3628.4987,3647.8966,11056603500,215379297964.4000,0.384886,3707.5386150000004
2022-11-04,3646.7709,3782.8823,3646.7709,3767.1746,14973494900,311145477555.0000,0.521234,3705.65308
2022-11-07,3754.5227,3792.7942,3746.3715,3775.2971,12982637100,251195699936.5000,0.451914,3708.37111
2022-11-08,3773.6612,3779.1156,3723.3415,3749.3251,9901645100,193351324896.7000,0.344668,3709.4530299999997
2022-11-09,3750.7821,3760.4068,3711.2680,3714.2704,8943452500,172029529943.6000,0.311314,3705.9512299999997
2022-11-10,3685.8274,3701.5306,3665.0585,3685.6885,10350930200,183155308702.9000,0.360296,3702.60201
2022-11-11,3787.7568,3828.9004,3747.0902,3788.4387,18968558600,344471326267.1000,0.660260,3699.900455
2022-11-14,3818.1447,3848.4116,3781.7778,3794.0171,16966504800,315536856084.6000,0.590528,3697.280715
2022-11-15,3788.9260,3871.6424,3775.4988,3865.9726,15151565000,296268142768.9000,0.527358,3698.66601
2022-11-16,3860.8110,3877.6781,3829.3126,3834.3899,12061096400,235844588244.6000,0.419779,3701.5588299999995
2022-11-17,3821.2709,3821.7419,3776.5739,3818.664,10594063200,219540811334.9000,0.368719,3704.7456850000003
2022-11-18,3823.8207,3840.3018,3801.5686,3801.5686,11507877700,224276131007.5000,0.400524,3707.67947
2022-11-21,3769.6270,3769.8731,3733.9954,3769.1269,9586696600,188230373665.4000,0.333658,3714.4671500000004
2022-11-22,3766.0817,3809.8582,3751.0448,3769.5727,14448633400,203490828432.2000,0.502874,3721.5730749999993
2022-11-23,3760.2157,3791.1782,3753.2136,3773.5287,14452791100,201070601177.9000,0.503019,3727.4043750000005
2022-11-24,3791.5399,3804.8987,3751.3818,3756.8082,10107344700,160698921546.2000,0.351778,3733.687545
2022-11-25,3751.2822,3790.5660,3743.4138,3775.7764,14292971100,191711040706.5000,0.497456,3745.4098900000004
2022-11-28,3701.9020,3736.0813,3672.1306,3733.2424,12782574800,196305561705.9000,0.443390,3756.63684
2022-11-29,3766.5702,3854.7742,3766.5702,3848.4224,17870139200,289062336430.7000,0.619612,3767.3493000000003
2022-11-30,3836.5598,3867.6591,3833.8272,3853.0365,15751140000,250051468093.3000,0.545940,3776.1108700000004
2022-12-01,3921.2954,3944.5645,3893.8718,3894.7687,16996458500,306678195716.4000,0.589103,3788.454475
2022-12-02,3886.4034,3898.1146,3865.8844,3870.9478,11678635000,201253166362.9000,0.404785,3793.643135
2022-12-05,3907.6375,3947.4760,3900.6742,3946.8759,20174722100,296615512326.6000,0.699261,3802.222075
2022-12-06,3929.0063,3988.9007,3922.9969,3968.1979,15510832300,275583430840.8000,0.537606,3813.165715
2022-12-07,3956.6722,3999.5864,3944.1831,3958.4409,14300135600,255490829027.1000,0.495645,3825.37424
2022-12-08,3953.1990,3971.4927,3941.2966,3959.1798,11519998600,198037690481.4000,0.399285,3839.048805
2022-12-09,3961.9919,4003.3178,3944.4396,3998.2442,15377495400,268166789656.9000,0.532984,3849.53908
2022-12-12,3976.1722,3983.4332,3950.3203,3953.4433,12593536800,227606300936.9000,0.440213,3857.5103900000004
2022-12-13,3953.5482,3964.3957,3939.9795,3945.6813,10099410000,184020700110.0000,0.353030,3861.4958249999995
2022-12-14,3952.7885,3972.7381,3935.7668,3954.8857,9852800600,196175108617.2000,0.344409,3867.520615
2022-12-15,3954.6720,3963.5002,3926.4997,3951.9885,8886472500,181994889123.4000,0.310629,3874.18684
2022-12-16,3931.2318,3960.4705,3929.4873,3954.227,9317856700,167488442588.9000,0.325680,3881.81976
2022-12-19,3952.7707,3966.5679,3878.4367,3893.2207,10691907500,180801387702.4000,0.373346,3888.02445
2022-12-20,3881.2257,3881.2729,3811.4759,3829.0173,8309682200,164046440873.7000,0.290161,3890.99668
2022-12-21,3839.0009,3853.7272,3821.4037,3830.5384,6483921500,123450040359.8000,0.226403,3893.847165
2022-12-22,3859.2041,3882.1263,3821.3418,3836.028,8370517300,163970306950.9000,0.292278,3897.8081549999997
2022-12-23,3811.6164,3848.3436,3805.9487,3828.2188,6527814800,130559415565.7000,0.227935,3900.4302749999997
2022-12-26,3830.5682,3856.8066,3827.5186,3843.4887,7300571200,148692832422.1000,0.254918,3905.94259
2022-12-27,3860.9054,3891.8497,3856.5800,3887.854,7751535000,152032206630.9000,0.270665,3907.91417
2022-12-28,3874.9132,3884.7205,3854.9406,3871.2644,8442465600,160671122030.7000,0.294663,3908.825565
2022-12-29,3854.2363,3868.2933,3838.4803,3856.7007,7939481500,149011372437.3000,0.277108,3906.922165
2022-12-30,3873.9358,3887.5527,3868.7569,3871.6338,7877327200,148295049381.5000,0.274978,3906.956465
2023-01-03,3864.8356,3893.9904,3831.2450,3887.8992,11505187500,207540165953.2000,0.401618,3904.00763
2023-01-04,3886.2504,3905.9032,3873.6549,3892.9477,11066074300,198997711686.0000,0.386153,3900.2451200000005
2023-01-05,3913.4928,3974.8750,3912.2600,3968.5782,11650239500,256312608292.0000,0.406498,3900.751985
2023-01-06,3969.5493,4000.4143,3966.4696,3980.8888,11095303800,235744305582.2000,0.387132,3901.837435
2023-01-09,3998.5278,4023.0898,3990.7073,4013.1196,11705442500,233212426458.1000,0.408421,3902.581205
2023-01-10,4014.7125,4030.4574,4002.2297,4017.4737,10175114100,214871166239.5000,0.355025,3905.782725
2023-01-11,4019.8844,4043.3991,4008.0153,4010.0309,9999788900,203000262960.6000,0.348907,3909.0002050000003
2023-01-12,4021.7547,4030.2876,4003.5079,4017.8692,9055262700,183686268106.8000,0.315384,3912.1493800000003
2023-01-13,4032.2906,4074.3772,4027.8864,4074.3772,9587189600,212173997498.4000,0.333907,3918.2688150000004
2023-01-16,4077.8793,4177.1035,4076.6394,4137.9643,15139545500,319007749371.3000,0.523262,3927.45568
2023-01-17,4138.8433,4148.5838,4118.1570,4137.2422,9547904000,204381576523.4000,0.330004,3939.656755
2023-01-18,4140.1019,4151.4577,4125.7687,4130.3143,8420064500,172126171819.2000,0.291023,3954.721605
2023-01-19,4125.5772,4156.0077,4105.9797,4156.0077,9460839800,192699589774.1000,0.326965,3970.99507
2023-01-20,4166.8444,4189.8310,4161.6698,4181.5267,12355380900,222342455100.7000,0.426960,3988.270005
2023-01-30,4267.6248,4268.1522,4197.8596,4201.345,16460706400,330193322092.2000,0.568751,4006.9263149999997
2023-01-31,4200.5813,4212.7347,4153.0484,4156.8578,12455083500,249365321627.1000,0.430348,4022.5947700000006
2023-02-01,4170.1322,4195.9332,4137.7659,4195.9332,14100895400,265553944709.3000,0.487214,4037.9987300000003
2023-02-02,4207.4123,4207.4123,4170.5565,4181.1493,13382373600,262497434837.0000,0.462389,4053.4929749999997
2023-02-03,4162.0258,4162.0258,4103.1654,4141.6319,11704122100,226914770043.9000,0.404401,4067.7395349999997
2023-02-06,4103.8307,4105.9445,4065.2224,4086.8779,11019271700,226345113968.7000,0.380657,4078.5017399999997
2023-02-07,4098.3117,4107.3438,4077.9623,4094.2335,9136007200,183537351577.1000,0.315600,4088.8184549999996
2023-02-08,4099.8573,4111.4745,4072.6474,4076.1411,8478609900,170591751817.3000,0.292890,4097.978125
2023-02-09,4067.5631,4130.8565,4064.7489,4130.8565,10228996100,211722604859.2000,0.353357,4106.09204
2023-02-10,4124.0986,4125.2893,4092.3472,4106.3097,9671673300,195348320573.4000,0.334104,4112.363085
2023-02-13,4098.8795,4146.4500,4092.2729,4143.574,12889257700,251990181553.9000,0.445249,4118.885805
2023-02-14,4151.2470,4152.0487,4125.2583,4145.2902,10249989000,204915435749.9000,0.354078,4125.276629999999
2023-02-15,4146.8547,4153.7159,4115.9671,4123.6893,12166450800,219855528966.4000,0.420280,4130.95955
2023-02-16,4125.4087,4167.9003,4068.8591,4093.4876,15931058500,281315625588.6000,0.550324,4134.74047
2023-02-17,4086.2237,4104.6398,4032.9285,4034.507,11614258900,225737746955.0000,0.000000,4132.7469599999995
2023-02-20,4039.9623,4134.8623,4035.4762,4133.4896,16179448100,280122962150.4000,0.558764,4132.523225
2023-02-21,4130.0632,4151.7994,4116.2716,4144.3536,14577617300,249674201048.2000,0.503441,4132.878795
2023-02-22,4118.9669,4134.8759,4101.8596,4106.9506,10429029500,191586158991.2000,0.360166,4131.71061
