code,name,trigger_date,buy_date,sell_date,profit_pct,hold_days,exit_reason
002040,002040_data,2019-02-15 00:00:00,2019-02-16,2019-02-27 00:00:00,7.418762677484805,9,移动止盈
000070,000070_data,2019-02-12 00:00:00,2019-02-13,2019-02-21 00:00:00,7.058423114593528,8,移动止盈
000571,000571_data,2019-02-26 00:00:00,2019-02-27,2019-03-07 00:00:00,6.983333333333347,8,移动止盈
600105,600105_data,2019-02-18 00:00:00,2019-02-19,2019-02-26 00:00:00,6.983333333333336,7,移动止盈
000758,000758_data,2019-02-26 00:00:00,2019-02-27,2019-03-07 00:00:00,6.56368421052632,8,移动止盈
002840,002840_data,2019-02-12 00:00:00,2019-02-13,2019-02-25 00:00:00,6.5514084507042405,12,移动止盈
002145,002145_data,2019-02-26 00:00:00,2019-02-27,2019-03-07 00:00:00,6.488709677419351,8,移动止盈
603978,603978_data,2019-02-26 00:00:00,2019-02-27,2019-03-12 00:00:00,6.426367614879654,13,移动止盈
002692,002692_data,2019-02-19 00:00:00,2019-02-20,2019-02-27 00:00:00,6.15246305418722,7,移动止盈
600590,600590_data,2019-02-26 00:00:00,2019-02-27,2019-03-08 00:00:00,6.138188976377952,9,移动止盈
000526,000526_data,2019-02-19 00:00:00,2019-02-20,2019-02-25 00:00:00,6.131481481481474,5,移动止盈
600879,600879_data,2019-02-26 00:00:00,2019-02-27,2019-03-14 00:00:00,6.095121951219521,15,移动止盈
603386,603386_data,2019-02-14 00:00:00,2019-02-15,2019-02-20 00:00:00,6.032428940568472,5,移动止盈
002651,002651_data,2019-02-26 00:00:00,2019-02-27,2019-03-05 00:00:00,5.916401590457254,6,移动止盈
002467,002467_data,2019-02-26 00:00:00,2019-02-27,2019-03-05 00:00:00,5.863921901528022,6,移动止盈
002067,002067_data,2019-02-19 00:00:00,2019-02-20,2019-03-11 00:00:00,5.86138211382114,19,移动止盈
000592,000592_data,2019-02-25 00:00:00,2019-02-26,2019-03-06 00:00:00,5.859424083769635,8,移动止盈
603688,603688_data,2019-02-12 00:00:00,2019-02-13,2019-03-11 00:00:00,5.783524766690609,26,移动止盈
600894,600894_data,2019-02-20 00:00:00,2019-02-21,2019-03-08 00:00:00,5.635096870342787,15,移动止盈
