code,name,trigger_date,buy_date,sell_date,buy_price,sell_price,profit_pct,hold_days,exit_reason,drop_start,drop_end,shrink_date,surge_date,support_level,retrace_low
002289,002289_data,2019-02-14 00:00:00,2019-02-15,2019-02-20 00:00:00,6.08,6.578,7.840789473684214,5,移动止盈,2019-01-29 00:00:00,2019-01-30 00:00:00,2019-02-01 00:00:00,2019-02-13 00:00:00,5.72,6.03
600172,600172_data,2019-02-13 00:00:00,2019-02-14,2019-03-01 00:00:00,3.65,3.9468,7.781506849315073,15,移动止盈,2019-01-16 00:00:00,2019-01-30 00:00:00,2019-02-01 00:00:00,2019-02-12 00:00:00,3.39,3.53
601068,601068_data,2019-02-26 00:00:00,2019-02-27,2019-03-04 00:00:00,6.35,6.8632,7.731889763779533,5,移动止盈,2019-01-14 00:00:00,2019-01-30 00:00:00,2019-01-31 00:00:00,2019-02-25 00:00:00,5.6,5.8
002383,002383_data,2019-02-26 00:00:00,2019-02-27,2019-03-08 00:00:00,13.42,14.49,7.6231743666169915,9,移动止盈,2019-01-11 00:00:00,2019-01-30 00:00:00,2019-02-01 00:00:00,2019-02-25 00:00:00,13.17,13.48
002557,002557_data,2019-03-01 00:00:00,2019-03-02,2019-03-18 00:00:00,22.47,24.2328,7.4951268357810505,14,移动止盈,2019-01-17 00:00:00,2019-01-30 00:00:00,2019-02-01 00:00:00,2019-02-28 00:00:00,21.23,21.75
002040,002040_data,2019-02-15 00:00:00,2019-02-16,2019-02-27 00:00:00,9.86,10.626000000000001,7.418762677484805,9,移动止盈,2019-01-08 00:00:00,2019-01-30 00:00:00,2019-01-31 00:00:00,2019-02-14 00:00:00,8.1,8.86
000070,000070_data,2019-02-12 00:00:00,2019-02-13,2019-02-21 00:00:00,10.21,10.9664,7.058423114593528,8,移动止盈,2019-01-11 00:00:00,2019-01-30 00:00:00,2019-01-31 00:00:00,2019-02-11 00:00:00,9.36,10.01
000571,000571_data,2019-02-26 00:00:00,2019-02-27,2019-03-07 00:00:00,3.3,3.5420000000000003,6.983333333333347,8,移动止盈,2019-01-09 00:00:00,2019-01-30 00:00:00,2019-02-11 00:00:00,2019-02-25 00:00:00,3.07,3.17
600105,600105_data,2019-02-18 00:00:00,2019-02-19,2019-02-26 00:00:00,5.04,5.4096,6.983333333333336,7,移动止盈,2019-01-14 00:00:00,2019-01-30 00:00:00,2019-02-01 00:00:00,2019-02-15 00:00:00,4.84,4.98
000758,000758_data,2019-02-26 00:00:00,2019-02-27,2019-03-07 00:00:00,4.75,5.0784,6.56368421052632,8,移动止盈,2019-01-18 00:00:00,2019-01-30 00:00:00,2019-02-11 00:00:00,2019-02-25 00:00:00,4.2,4.62
002840,002840_data,2019-02-12 00:00:00,2019-02-13,2019-02-25 00:00:00,14.2,15.180000000000001,6.5514084507042405,12,移动止盈,2019-01-17 00:00:00,2019-01-30 00:00:00,2019-02-01 00:00:00,2019-02-11 00:00:00,13.36,13.96
002145,002145_data,2019-02-26 00:00:00,2019-02-27,2019-03-07 00:00:00,4.03,4.3056,6.488709677419351,8,移动止盈,2019-01-22 00:00:00,2019-01-30 00:00:00,2019-02-01 00:00:00,2019-02-25 00:00:00,3.85,3.97
603978,603978_data,2019-02-26 00:00:00,2019-02-27,2019-03-12 00:00:00,22.85,24.398400000000002,6.426367614879654,13,移动止盈,2019-01-18 00:00:00,2019-01-30 00:00:00,2019-02-01 00:00:00,2019-02-25 00:00:00,21.35,22.36
002692,002692_data,2019-02-19 00:00:00,2019-02-20,2019-02-27 00:00:00,4.06,4.324000000000001,6.15246305418722,7,移动止盈,2019-01-07 00:00:00,2019-01-30 00:00:00,2019-01-31 00:00:00,2019-02-18 00:00:00,3.82,3.92
600590,600590_data,2019-02-26 00:00:00,2019-02-27,2019-03-08 00:00:00,6.35,6.762,6.138188976377952,9,移动止盈,2019-01-07 00:00:00,2019-01-30 00:00:00,2019-02-01 00:00:00,2019-02-25 00:00:00,6.16,6.3
000526,000526_data,2019-02-19 00:00:00,2019-02-20,2019-02-25 00:00:00,21.6,23.0,6.131481481481474,5,移动止盈,2019-01-23 00:00:00,2019-01-30 00:00:00,2019-02-01 00:00:00,2019-02-18 00:00:00,20.3,20.36
600879,600879_data,2019-02-26 00:00:00,2019-02-27,2019-03-14 00:00:00,6.56,6.9828,6.095121951219521,15,移动止盈,2019-01-07 00:00:00,2019-01-30 00:00:00,2019-01-31 00:00:00,2019-02-25 00:00:00,6.34,6.5
603386,603386_data,2019-02-14 00:00:00,2019-02-15,2019-02-20 00:00:00,15.48,16.468,6.032428940568472,5,移动止盈,2019-01-08 00:00:00,2019-01-30 00:00:00,2019-02-11 00:00:00,2019-02-13 00:00:00,15.1,15.43
002651,002651_data,2019-02-26 00:00:00,2019-02-27,2019-03-05 00:00:00,5.03,5.3452,5.916401590457254,6,移动止盈,2019-01-24 00:00:00,2019-01-30 00:00:00,2019-01-31 00:00:00,2019-02-25 00:00:00,4.85,4.96
002467,002467_data,2019-02-26 00:00:00,2019-02-27,2019-03-05 00:00:00,5.89,6.256,5.863921901528022,6,移动止盈,2019-01-11 00:00:00,2019-01-30 00:00:00,2019-02-01 00:00:00,2019-02-25 00:00:00,5.65,5.9
002067,002067_data,2019-02-19 00:00:00,2019-02-20,2019-03-11 00:00:00,3.69,3.9192,5.86138211382114,19,移动止盈,2019-01-14 00:00:00,2019-01-31 00:00:00,2019-02-01 00:00:00,2019-02-18 00:00:00,3.55,3.65
000592,000592_data,2019-02-25 00:00:00,2019-02-26,2019-03-06 00:00:00,3.82,4.0572,5.859424083769635,8,移动止盈,2019-01-07 00:00:00,2019-01-30 00:00:00,2019-01-31 00:00:00,2019-02-22 00:00:00,3.43,3.64
603688,603688_data,2019-02-12 00:00:00,2019-02-13,2019-03-11 00:00:00,13.93,14.784400000000002,5.783524766690609,26,移动止盈,2019-01-28 00:00:00,2019-01-30 00:00:00,2019-01-31 00:00:00,2019-02-11 00:00:00,13.08,13.6
600894,600894_data,2019-02-20 00:00:00,2019-02-21,2019-03-08 00:00:00,6.71,7.111600000000001,5.635096870342787,15,移动止盈,2019-01-24 00:00:00,2019-01-30 00:00:00,2019-01-31 00:00:00,2019-02-19 00:00:00,6.23,6.34
000969,000969_data,2019-02-25 00:00:00,2019-02-26,2019-03-14 00:00:00,5.93,6.283600000000001,5.61290050590221,16,移动止盈,2019-01-24 00:00:00,2019-01-30 00:00:00,2019-02-01 00:00:00,2019-02-22 00:00:00,5.38,5.68
000558,000558_data,2019-02-25 00:00:00,2019-02-26,2019-03-08 00:00:00,3.38,3.5788,5.531656804733736,10,移动止盈,2019-01-28 00:00:00,2019-01-30 00:00:00,2019-02-01 00:00:00,2019-02-22 00:00:00,3.12,3.25
002249,002249_data,2019-02-19 00:00:00,2019-02-20,2019-03-08 00:00:00,4.32,4.5724,5.492592592592586,16,移动止盈,2019-01-17 00:00:00,2019-01-30 00:00:00,2019-02-11 00:00:00,2019-02-18 00:00:00,3.83,4.22
000936,000936_data,2019-02-25 00:00:00,2019-02-26,2019-03-05 00:00:00,7.88,8.3352,5.426649746192899,7,移动止盈,2019-01-24 00:00:00,2019-01-30 00:00:00,2019-01-31 00:00:00,2019-02-22 00:00:00,6.75,7.41
000823,000823_data,2019-02-14 00:00:00,2019-02-15,2019-02-27 00:00:00,9.29,9.8164,5.31630785791174,12,移动止盈,2019-01-16 00:00:00,2019-01-30 00:00:00,2019-01-31 00:00:00,2019-02-13 00:00:00,8.85,9.17
000751,000751_data,2019-02-26 00:00:00,2019-02-27,2019-03-07 00:00:00,3.77,3.9836,5.3157824933687,8,移动止盈,2019-01-21 00:00:00,2019-01-30 00:00:00,2019-02-01 00:00:00,2019-02-25 00:00:00,3.14,3.55
000419,000419_data,2019-02-26 00:00:00,2019-02-27,2019-03-27 00:00:00,4.78,5.050800000000001,5.315271966527204,28,移动止盈,2019-01-29 00:00:00,2019-01-30 00:00:00,2019-02-15 00:00:00,2019-02-25 00:00:00,4.57,4.78
002908,002908_data,2019-02-19 00:00:00,2019-02-20,2019-03-06 00:00:00,19.29,20.378,5.290228097459829,14,移动止盈,2019-01-16 00:00:00,2019-01-30 00:00:00,2019-02-01 00:00:00,2019-02-18 00:00:00,17.68,18.62
000981,000981_data,2019-02-13 00:00:00,2019-02-14,2019-02-19 00:00:00,2.92,3.0820000000000003,5.197945205479464,5,移动止盈,2019-01-08 00:00:00,2019-01-30 00:00:00,2019-02-01 00:00:00,2019-02-12 00:00:00,2.76,2.87
002933,002933_data,2019-02-26 00:00:00,2019-02-27,2019-03-08 00:00:00,49.24,51.970800000000004,5.195897644191718,9,移动止盈,2019-01-22 00:00:00,2019-01-30 00:00:00,2019-02-01 00:00:00,2019-02-25 00:00:00,45.6,46.6
