code,name,buy_date,sell_date,buy_price,sell_price,profit_pct,hold_days,exit_reason
002214,002214_data,N/A,N/A,0,0,16.843846153846144,0,N/A
002227,002227_data,N/A,N/A,0,0,-3.938050314465412,0,N/A
002229,002229_data,N/A,N/A,0,0,7.908064516129045,0,N/A
002238,002238_data,N/A,N/A,0,0,-3.483501259445857,0,N/A
002239,002239_data,N/A,N/A,0,0,1.5071428571428642,0,N/A
002249,002249_data,N/A,N/A,0,0,5.492592592592586,0,N/A
002271,002271_data,N/A,N/A,0,0,7.916060261512225,0,N/A
002276,002276_data,N/A,N/A,0,0,1.3059766763848384,0,N/A
002277,002277_data,N/A,N/A,0,0,0.3558823529411782,0,N/A
002289,002289_data,N/A,N/A,0,0,7.840789473684214,0,N/A
002313,002313_data,N/A,N/A,0,0,-2.6359375000000016,0,N/A
002326,002326_data,N/A,N/A,0,0,-0.7851107756515476,0,N/A
002329,002329_data,N/A,N/A,0,0,-2.838479262672803,0,N/A
002342,002342_data,N/A,N/A,0,0,2.164285714285714,0,N/A
002354,002354_data,N/A,N/A,0,0,-0.4397196261682145,0,N/A
002383,002383_data,N/A,N/A,0,0,7.6231743666169915,0,N/A
002426,002426_data,N/A,N/A,0,0,21.22142857142859,0,N/A
002429,002429_data,N/A,N/A,0,0,-4.245910780669146,0,N/A
002453,002453_data,N/A,N/A,0,0,-2.821494607087829,0,N/A
002454,002454_data,N/A,N/A,0,0,9.456451612903214,0,N/A
002457,002457_data,N/A,N/A,0,0,0.20328798185940988,0,N/A
002467,002467_data,N/A,N/A,0,0,5.863921901528022,0,N/A
002479,002479_data,N/A,N/A,0,0,4.615250965250984,0,N/A
002488,002488_data,N/A,N/A,0,0,47.01386768447837,0,N/A
002491,002491_data,N/A,N/A,0,0,4.042694063926943,0,N/A
002493,002493_data,N/A,N/A,0,0,1.1626536514822916,0,N/A
002497,002497_data,N/A,N/A,0,0,10.975443786982249,0,N/A
002518,002518_data,N/A,N/A,0,0,-1.3001915708812235,0,N/A
002542,002542_data,N/A,N/A,0,0,21.93333333333334,0,N/A
002545,002545_data,N/A,N/A,0,0,-1.216310160427807,0,N/A
002557,002557_data,N/A,N/A,0,0,7.4951268357810505,0,N/A
002576,002576_data,N/A,N/A,0,0,-1.3330508474576392,0,N/A
002577,002577_data,N/A,N/A,0,0,-2.956896551724142,0,N/A
002579,002579_data,N/A,N/A,0,0,3.964960629921256,0,N/A
002583,002583_data,N/A,N/A,0,0,24.543289328932897,0,N/A
002609,002609_data,N/A,N/A,0,0,4.922131147541,0,N/A
002611,002611_data,N/A,N/A,0,0,4.070000000000001,0,N/A
002642,002642_data,N/A,N/A,0,0,2.9434131736527047,0,N/A
002651,002651_data,N/A,N/A,0,0,5.916401590457254,0,N/A
002656,002656_data,N/A,N/A,0,0,16.714566929133866,0,N/A
002660,002660_data,N/A,N/A,0,0,2.8131799163179902,0,N/A
002669,002669_data,N/A,N/A,0,0,3.3325396825396854,0,N/A
002670,002670_data,N/A,N/A,0,0,9.011290322580646,0,N/A
002692,002692_data,N/A,N/A,0,0,6.15246305418722,0,N/A
002721,002721_data,N/A,N/A,0,0,3.732278481012658,0,N/A
002733,002733_data,N/A,N/A,0,0,18.811904761904785,0,N/A
002756,002756_data,N/A,N/A,0,0,1.2729180546302394,0,N/A
002796,002796_data,N/A,N/A,0,0,4.533031301482692,0,N/A
002797,002797_data,N/A,N/A,0,0,-5.217591424968476,0,N/A
002837,002837_data,N/A,N/A,0,0,-0.18870967741934874,0,N/A
002840,002840_data,N/A,N/A,0,0,6.5514084507042405,0,N/A
002848,002848_data,N/A,N/A,0,0,-0.2729122055674413,0,N/A
002856,002856_data,N/A,N/A,0,0,10.528486997635946,0,N/A
002862,002862_data,N/A,N/A,0,0,10.376351351351362,0,N/A
002886,002886_data,N/A,N/A,0,0,18.94104477611943,0,N/A
002897,002897_data,N/A,N/A,0,0,4.676907807675333,0,N/A
002908,002908_data,N/A,N/A,0,0,5.290228097459829,0,N/A
002926,002926_data,N/A,N/A,0,0,3.21284153005465,0,N/A
002933,002933_data,N/A,N/A,0,0,5.195897644191718,0,N/A
002939,002939_data,N/A,N/A,0,0,8.115909090909092,0,N/A
002940,002940_data,N/A,N/A,0,0,5.019288389513121,0,N/A
002941,002941_data,N/A,N/A,0,0,13.366738197424901,0,N/A
600058,600058_data,N/A,N/A,0,0,3.727220077220085,0,N/A
600061,600061_data,N/A,N/A,0,0,30.1965004793864,0,N/A
600072,600072_data,N/A,N/A,0,0,11.990136054421768,0,N/A
600105,600105_data,N/A,N/A,0,0,6.983333333333336,0,N/A
600107,600107_data,N/A,N/A,0,0,0.08927648578811119,0,N/A
600109,600109_data,N/A,N/A,0,0,2.827570093457947,0,N/A
600119,600119_data,N/A,N/A,0,0,2.456800618238042,0,N/A
600169,600169_data,N/A,N/A,0,0,2.1115384615384576,0,N/A
600172,600172_data,N/A,N/A,0,0,7.781506849315073,0,N/A
600203,600203_data,N/A,N/A,0,0,2.535496183206111,0,N/A
600210,600210_data,N/A,N/A,0,0,-2.8637614678899164,0,N/A
600231,600231_data,N/A,N/A,0,0,0.06463414634147192,0,N/A
600255,600255_data,N/A,N/A,0,0,4.851793721973099,0,N/A
600293,600293_data,N/A,N/A,0,0,8.543805309734518,0,N/A
600310,600310_data,N/A,N/A,0,0,1.8975247524752639,0,N/A
600316,600316_data,N/A,N/A,0,0,5.034379785604905,0,N/A
600356,600356_data,N/A,N/A,0,0,-0.7559539918809116,0,N/A
600366,600366_data,N/A,N/A,0,0,8.154983388704327,0,N/A
600369,600369_data,N/A,N/A,0,0,23.39647887323945,0,N/A
600391,600391_data,N/A,N/A,0,0,14.146350364963522,0,N/A
600416,600416_data,N/A,N/A,0,0,9.869312602291332,0,N/A
600425,600425_data,N/A,N/A,0,0,25.383333333333326,0,N/A
600478,600478_data,N/A,N/A,0,0,0.9410891089108897,0,N/A
600495,600495_data,N/A,N/A,0,0,-3.219888475836429,0,N/A
600512,600512_data,N/A,N/A,0,0,-0.9513986013985972,0,N/A
600531,600531_data,N/A,N/A,0,0,26.125374732334063,0,N/A
600550,600550_data,N/A,N/A,0,0,10.772401847575063,0,N/A
600581,600581_data,N/A,N/A,0,0,4.195454545454549,0,N/A
600590,600590_data,N/A,N/A,0,0,6.138188976377952,0,N/A
600686,600686_data,N/A,N/A,0,0,-1.1343137254901916,0,N/A
600689,600689_data,N/A,N/A,0,0,9.59228855721393,0,N/A
600698,600698_data,N/A,N/A,0,0,0.37992700729927603,0,N/A
600703,600703_data,N/A,N/A,0,0,9.847802197802197,0,N/A
600707,600707_data,N/A,N/A,0,0,3.400778816199378,0,N/A
600759,600759_data,N/A,N/A,0,0,4.494155844155843,0,N/A
600775,600775_data,N/A,N/A,0,0,-0.9112366230677781,0,N/A
600800,600800_data,N/A,N/A,0,0,25.631981981981987,0,N/A
600864,600864_data,N/A,N/A,0,0,22.88108384458078,0,N/A
600874,600874_data,N/A,N/A,0,0,-1.2807359307359338,0,N/A
600879,600879_data,N/A,N/A,0,0,6.095121951219521,0,N/A
600894,600894_data,N/A,N/A,0,0,5.635096870342787,0,N/A
600909,600909_data,N/A,N/A,0,0,-5.117203513909219,0,N/A
600985,600985_data,N/A,N/A,0,0,0.7785591026747257,0,N/A
600996,600996_data,N/A,N/A,0,0,17.355882352941173,0,N/A
601002,601002_data,N/A,N/A,0,0,-3.205105455143849,0,N/A
601020,601020_data,N/A,N/A,0,0,2.871601489757915,0,N/A
601068,601068_data,N/A,N/A,0,0,7.731889763779533,0,N/A
601099,601099_data,N/A,N/A,0,0,22.955555555555566,0,N/A
601100,601100_data,N/A,N/A,0,0,12.969073083778957,0,N/A
601179,601179_data,N/A,N/A,0,0,-3.0928571428571368,0,N/A
601375,601375_data,N/A,N/A,0,0,-6.568602155782085,0,N/A
601377,601377_data,N/A,N/A,0,0,21.188461538461542,0,N/A
601388,601388_data,N/A,N/A,0,0,9.610159362549819,0,N/A
601616,601616_data,N/A,N/A,0,0,8.652531645569619,0,N/A
601700,601700_data,N/A,N/A,0,0,62.88056034417004,0,N/A
601878,601878_data,N/A,N/A,0,0,19.544736842105277,0,N/A
601901,601901_data,N/A,N/A,0,0,10.352541106128552,0,N/A
601992,601992_data,N/A,N/A,0,0,-0.1981012658227903,0,N/A
603005,603005_data,N/A,N/A,0,0,11.372358722358724,0,N/A
603032,603032_data,N/A,N/A,0,0,27.699204920492065,0,N/A
603042,603042_data,N/A,N/A,0,0,11.452690582959654,0,N/A
603063,603063_data,N/A,N/A,0,0,9.129999999999999,0,N/A
603081,603081_data,N/A,N/A,0,0,13.342191053828664,0,N/A
603098,603098_data,N/A,N/A,0,0,17.13201438848922,0,N/A
603111,603111_data,N/A,N/A,0,0,14.018627450980395,0,N/A
603169,603169_data,N/A,N/A,0,0,8.124849094567418,0,N/A
603181,603181_data,N/A,N/A,0,0,11.224556830031277,0,N/A
603363,603363_data,N/A,N/A,0,0,14.344074969770269,0,N/A
603386,603386_data,N/A,N/A,0,0,6.032428940568472,0,N/A
603389,603389_data,N/A,N/A,0,0,5.156196377502386,0,N/A
603500,603500_data,N/A,N/A,0,0,1.847044334975368,0,N/A
603516,603516_data,N/A,N/A,0,0,14.139761092150168,0,N/A
603538,603538_data,N/A,N/A,0,0,-4.068811881188105,0,N/A
603609,603609_data,N/A,N/A,0,0,-1.4096491228070254,0,N/A
603616,603616_data,N/A,N/A,0,0,1.7849274124679761,0,N/A
603618,603618_data,N/A,N/A,0,0,-5.2151851851851765,0,N/A
603680,603680_data,N/A,N/A,0,0,-1.490828402366854,0,N/A
603688,603688_data,N/A,N/A,0,0,5.783524766690609,0,N/A
603790,603790_data,N/A,N/A,0,0,3.3137010676156535,0,N/A
603803,603803_data,N/A,N/A,0,0,4.458007279344854,0,N/A
603828,603828_data,N/A,N/A,0,0,-1.847890295358644,0,N/A
603859,603859_data,N/A,N/A,0,0,9.801770657672854,0,N/A
603903,603903_data,N/A,N/A,0,0,-2.6853711790392887,0,N/A
603912,603912_data,N/A,N/A,0,0,1.7860985093972732,0,N/A
603929,603929_data,N/A,N/A,0,0,10.988660110633084,0,N/A
603978,603978_data,N/A,N/A,0,0,6.426367614879654,0,N/A
603999,603999_data,N/A,N/A,0,0,-8.349999999999989,0,N/A
